N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
40,1.0,33,93,Np,-a,,88#,7604#,0#    B-      *
0 59,1.0,43,84,Po,,,401#,7596#,2#    B-   4797
57,1.0,42,85,At,,,298#,7613#,1#    B-   4597
55,1.0,41,86,Rn,,32885.834,14.091,7630.0,50    0.062 B-   3203
53,1.0,40,87,Fr,,29682.445,5.898,7640.7,15    0.026 B-   2504
51,1.0,39,88,Ra,-n,,1.952,7648.3,03    0.009 B-   1328
49,1.0,38,89,Ac,,25849.58,1.927,7650.7,07    0.008 B-     44
47,1.0,37,90,Th,,25804.823,2.088,7647.4,58    0.009 B-  -1026
45,1.0,36,91,Pa,-a,,7.420,7639.4,90    0.033 B-  -2214
43,1.0,35,92,U,-a,,9.705,7626.2,89    0.043 B-  -3516
41,1.0,34,93,Np,-a,,72.506,7607.3,51    0.319 B-  -4208
39,1.0,33,94,Pu,,,100#,7585#,0#    B-      *
0 58,1.0,43,85,At,,,401#,7597#,2#    B-   6441
56,1.0,42,86,Rn,,35243.465,17.677,7621.6,45    0.078 B-   1859
54,1.0,41,87,Fr,,33384.221,6.732,7626.3,68    0.030 B-   4443
52,1.0,40,88,Ra,,,1.996,7642.4,28    0.009 B-     45
50,1.0,39,89,Ac,,,2.094,7639.1,96    0.009 B-   2123
48,1.0,38,90,Th,,26770.984,1.807,7645.0,80    0.008 B-  -2152
46,1.0,37,91,Pa,-a,,4.340,7632.2,07    0.019 B-   -298
44,1.0,36,92,U,-a,,14.354,7627.4,66    0.063 B-  -4373
42,1.0,35,93,Np,-a,,50.572,7604.8,53    0.222 B-  -2491
40,1.0,34,94,Pu,-a,,29.143,7590.4,93    0.128 B-      *
0 59,1.0,44,85,At,,,401#,7585#,2#    B-   5461
57,1.0,43,86,Rn,,,13.041,7605.6,22    0.057 B-   3694
55,1.0,42,87,Fr,,35668.262,5.001,7618.3,37    0.022 B-   3106
53,1.0,41,88,Ra,,,15.441,7628.4,85    0.067 B-   1872
51,1.0,40,89,Ac,,,12.109,7633.2,44    0.053 B-   1104
49,1.0,39,90,Th,,29585.583,2.405,7634.6,50    0.011 B-   -311
47,1.0,38,91,Pa,,29896.908,3.280,7629.8,74    0.014 B-  -1313
45,1.0,37,92,U,-a,,5.938,7620.7,21    0.026 B-  -2569
43,1.0,36,93,Np,-a,,86.848,7606.0,86    0.379 B-  -3615
41,1.0,35,94,Pu,-a,,51.176,7586.8,80    0.223 B-  -4754
39,1.0,34,95,Am,-a,,87.348,7562.7,02    0.381 B-      *
0 58,1.0,44,86,Rn,,,196#,7596#,1#    B-   2561
56,1.0,43,87,Fr,,39486.768,6.541,7603.7,04    0.028 B-   4970
54,1.0,42,88,Ra,,,10.296,7621.9,14    0.045 B-    677
52,1.0,41,89,Ac,,,15.835,7621.4,60    0.069 B-   2975
50,1.0,40,90,Th,,30862.593,1.210,7630.9,96    0.005 B-  -1311
48,1.0,39,91,Pa,,32173.607,3.038,7621.8,95    0.013 B-    558
46,1.0,38,92,U,-a,,4.509,7620.9,22    0.020 B-  -3621
44,1.0,37,93,Np,-a,,51.288,7601.7,76    0.223 B-  -1698
42,1.0,36,94,Pu,-a,,14.824,7590.9,91    0.064 B-  -5998
40,1.0,35,95,Am,-a,,133#,7562#,1#    B-      *
0 59,1.0,45,86,Rn,,,298#,7579#,1#    B-   4373
57,1.0,44,87,Fr,,,7.731,7594.5,00    0.033 B-   3864
55,1.0,43,88,Ra,,38216.486,11.370,7607.8,41    0.049 B-   2453
53,1.0,42,89,Ac,,,13.041,7615.0,76    0.056 B-   1946
51,1.0,41,90,Th,,33815.891,1.218,7620.1,18    0.005 B-    391
49,1.0,40,91,Pa,,33424.404,1.772,7618.4,26    0.008 B-   -381
47,1.0,39,92,U,-a,,2.670,7613.3,87    0.012 B-  -1818
45,1.0,38,93,Np,-a,,50.547,7602.1,28    0.219 B-  -2684
43,1.0,37,94,Pu,-a,,22.549,7587.1,20    0.098 B-  -4101
41,1.0,36,95,Am,,,300#,7566#,1#    B-  -4860
39,1.0,35,96,Cm,,,300#,7542#,1#    B-      *
0 58,1.0,45,87,Fr,,,13.972,7579.3,47    0.060 B-   5575
56,1.0,44,88,Ra,,40496.953,9.151,7600.0,09    0.039 B-   1342
54,1.0,43,89,Ac,,,13.041,7602.4,24    0.056 B-   3707
52,1.0,42,90,Th,,35446.784,1.422,7615.0,33    0.006 B-   -499
50,1.0,41,91,Pa,,,7.645,7609.5,06    0.033 B-   1337
48,1.0,40,92,U,,34609.53,1.809,7611.8,97    0.008 B-  -2750
46,1.0,39,93,Np,,,100#,7597#,0#    B-  -1004
44,1.0,38,94,Pu,-a,,17.595,7588.9,74    0.076 B-  -4976
42,1.0,37,95,Am,,,300#,7564#,1#    B-  -2973
40,1.0,36,96,Cm,-a,,202#,7548#,1#    B-      *
0 59,1.0,46,87,Fr,,,19.561,7569.2,39    0.084 B-   4585
57,1.0,45,88,Ra,,44334.06,8.603,7585.5,64    0.037 B-   3026
55,1.0,44,89,Ac,,,13.041,7595.1,93    0.056 B-   2576
53,1.0,43,90,Th,,38731.715,1.425,7602.8,93    0.006 B-   1242
51,1.0,42,91,Pa,,37489.472,1.336,7604.8,66    0.006 B-    570
49,1.0,41,92,U,,36919.176,2.255,7603.9,56    0.010 B-  -1029
47,1.0,40,93,Np,-a,,50.981,7596.1,81    0.219 B-  -2103
45,1.0,39,94,Pu,-a,,50.351,7583.7,96    0.216 B-  -3211
43,1.0,38,95,Am,-a,,102#,7567#,0#    B-  -4031
41,1.0,37,96,Cm,-a,,71.547,7545.9,98    0.307 B-  -5567
39,1.0,36,97,Bk,-a,,224#,7519#,1#    B-      *
0 58,1.0,46,88,Ra,,,8.383,7576.5,43    0.036 B-   2089
56,1.0,45,89,Ac,,,13.972,7582.1,29    0.060 B-   4228
54,1.0,44,90,Th,,,2.589,7596.8,55    0.011 B-    274
52,1.0,43,91,Pa,,,4.094,7594.6,83    0.017 B-   2193
50,1.0,42,92,U,,38145.025,1.130,7600.7,15    0.005 B-  -1809
48,1.0,41,93,Np,,,8.397,7589.6,37    0.036 B-   -395
46,1.0,40,94,Pu,-a,,6.798,7584.6,05    0.029 B-  -4111
44,1.0,39,95,Am,-a,,159#,7564#,1#    B-  -2263
42,1.0,38,96,Cm,-a,,17.394,7550.6,77    0.074 B-  -6731
40,1.0,37,97,Bk,-a,,142#,7519#,1#    B-      *
0 59,1.0,47,88,Ra,,,300#,7561#,1#    B-   3773
57,1.0,46,89,Ac,,,13.972,7573.5,04    0.059 B-   3339
55,1.0,45,90,Th,,,13.041,7584.3,85    0.055 B-   1728
53,1.0,44,91,Pa,,,13.972,7588.4,13    0.059 B-   1370
51,1.0,43,92,U,,40918.846,1.117,7590.9,14    0.005 B-   -124
49,1.0,42,93,Np,,41043.108,1.389,7587.0,56    0.006 B-  -1139
47,1.0,41,94,Pu,-a,,20.521,7578.8,79    0.087 B-  -2443
45,1.0,40,95,Am,-a,,52.192,7565.1,54    0.222 B-  -3408
43,1.0,39,96,Cm,-a,,201#,7547#,1#    B-  -4670
41,1.0,38,97,Bk,,,401#,7524#,2#    B-      *
0 58,1.0,47,89,Ac,,,38.191,7559.2,42    0.162 B-   4965
56,1.0,46,90,Th,,,13.972,7576.9,68    0.059 B-    921
54,1.0,45,91,Pa,,,13.972,7577.5,57    0.059 B-   2889
52,1.0,44,92,U,,42444.644,1.113,7586.4,84    0.005 B-   -933
50,1.0,43,93,Np,,,50.421,7579.2,14    0.214 B-    476
48,1.0,42,94,Pu,,42901.593,1.811,7577.9,18    0.008 B-  -3139
46,1.0,41,95,Am,-a,,112#,7561#,0#    B-  -1814
44,1.0,40,96,Cm,-a,,18.315,7550.2,99    0.078 B-  -5687
42,1.0,39,97,Bk,,,401#,7523#,2#    B-      *
0 59,1.0,48,89,Ac,,,400#,7550#,2#    B-   4065
57,1.0,47,90,Th,,,15.835,7563.4,43    0.067 B-   2427
55,1.0,46,91,Pa,,,13.041,7570.3,84    0.055 B-   2137
53,1.0,45,92,U,,45390.194,1.203,7576.1,02    0.005 B-    518
51,1.0,44,93,Np,,44871.659,1.120,7574.9,89    0.005 B-   -220
49,1.0,43,94,Pu,,45091.722,1.697,7570.7,59    0.007 B-  -1478
47,1.0,42,95,Am,-a,,59#,7561#,0#    B-  -2677
45,1.0,41,96,Cm,-a,,70.960,7546.6,24    0.299 B-  -3941
43,1.0,40,97,Bk,-a,,224#,7527#,1#    B-  -4751
41,1.0,39,98,Cf,-a,,87.287,7503.3,47    0.368 B-      *
0 58,1.0,48,90,Th,,,283#,7555#,1#    B-   1631
56,1.0,47,91,Pa,,,15.835,7558.3,44    0.067 B-   3586
54,1.0,46,92,U,,47307.783,1.493,7570.1,25    0.006 B-   -146
52,1.0,45,93,Np,-n,,1.138,7566.2,21    0.005 B-   1291
50,1.0,44,94,Pu,,46163.213,1.139,7568.3,60    0.005 B-  -2258
48,1.0,43,95,Am,-a,,50.700,7555.5,84    0.213 B-  -1023
46,1.0,42,96,Cm,-a,,12.234,7547.9,96    0.051 B-  -4771
44,1.0,41,97,Bk,-a,,255#,7525#,1#    B-  -3061
42,1.0,40,98,Cf,,,298#,7509#,1#    B-      *
0 59,1.0,49,90,Th,,,400#,7541#,2#    B-   3113
57,1.0,48,91,Pa,,,196#,7550#,1#    B-   2765
55,1.0,47,92,U,-n,,1.503,7558.5,61    0.006 B-   1261
53,1.0,46,93,Np,,49311.057,1.311,7560.5,67    0.005 B-    722
51,1.0,45,94,Pu,,48588.282,1.113,7560.3,18    0.005 B-   -802
49,1.0,44,95,Am,-a,,1.982,7553.6,88    0.008 B-  -1756
47,1.0,43,96,Cm,-a,,54.047,7543.0,65    0.226 B-  -3103
45,1.0,42,97,Bk,-a,,207#,7527#,1#    B-  -4019
43,1.0,41,98,Cf,-a,,209#,7507#,1#    B-  -5287
41,1.0,40,99,Es,,,298#,7481#,1#    B-      *
0 58,1.0,49,91,Pa,,,200#,7538#,1#    B-   4194
56,1.0,48,92,U,,52715.505,2.553,7551.7,70    0.011 B-    399
54,1.0,47,93,Np,,52316.272,17.032,7550.1,73    0.071 B-   2190
52,1.0,46,94,Pu,,50125.38,1.106,7556.0,42    0.005 B-  -1384
50,1.0,45,95,Am,,,13.832,7547.0,13    0.058 B-   -214
48,1.0,44,96,Cm,,51724.306,1.906,7542.8,61    0.008 B-  -3940
46,1.0,43,97,Bk,,,150#,7523#,1#    B-  -2327
44,1.0,42,98,Cf,-a,,18.700,7510.2,30    0.078 B-  -6208
42,1.0,41,99,Es,,,401#,7481#,2#    B-      *
0 59,1.0,50,91,Pa,,,300#,7528#,1#    B-   3443
57,1.0,49,92,U,,,196#,7539#,1#    B-   1937
55,1.0,48,93,Np,,,70.719,7544.2,70    0.293 B-   1305
53,1.0,47,94,Pu,,52955.175,1.106,7546.4,39    0.005 B-     20
51,1.0,46,95,Am,,52934.395,1.114,7543.2,78    0.005 B-   -767
49,1.0,45,96,Cm,,53701.83,1.608,7536.8,48    0.007 B-  -2330
47,1.0,44,97,Bk,,,200#,7524#,1#    B-  -3295
45,1.0,43,98,Cf,-a,,166#,7507#,1#    B-  -4537
43,1.0,42,99,Es,-a,,225#,7485#,1#    B-  -5263
41,1.0,41,100,Fm,,,298#,7460#,1#    B-      *
0 58,1.0,50,92,U,,,201#,7532#,1#    B-   1203
56,1.0,49,93,Np,,,200.004,7533.4,03    0.826 B-   2700
54,1.0,48,94,Pu,,54716.932,1.245,7541.3,27    0.005 B-   -751
52,1.0,47,95,Am,-n,,1.119,7534.9,91    0.005 B-    664
50,1.0,46,96,Cm,,54803.764,1.142,7534.5,03    0.005 B-  -2930
48,1.0,45,97,Bk,,,200#,7519#,1#    B-  -1653
46,1.0,44,98,Cf,-a,,12.892,7509.0,98    0.053 B-  -5414
44,1.0,43,99,Es,-a,,256#,7483#,1#    B-  -3598
42,1.0,42,100,Fm,,,401#,7465#,2#    B-      *
0 59,1.0,51,92,U,,,300#,7518#,1#    B-   2484
57,1.0,50,93,Np,,,32#,7525#,0#    B-   2121
55,1.0,49,94,Pu,,57754.602,2.542,7531.0,08    0.010 B-    579
53,1.0,48,95,Am,,57175.046,1.388,7530.1,73    0.006 B-     -6
51,1.0,47,96,Cm,-a,,1.496,7526.9,25    0.006 B-  -1507
49,1.0,46,97,Bk,-a,,4.524,7517.5,01    0.019 B-  -2300
47,1.0,45,98,Cf,-a,,114#,7505#,0#    B-  -3757
45,1.0,44,99,Es,-a,,207#,7486#,1#    B-  -4640
43,1.0,43,100,Fm,-a,,215#,7464#,1#    B-      *
0 58,1.0,51,93,Np,,,298#,7514#,1#    B-   3396
56,1.0,50,94,Pu,,59806.028,2.346,7524.8,15    0.010 B-    -73
54,1.0,49,95,Am,,,1.492,7521.3,08    0.006 B-   1427
52,1.0,48,96,Cm,-a,,1.107,7523.9,52    0.005 B-  -2261
50,1.0,47,97,Bk,-a,,14.399,7511.4,75    0.059 B-   -764
48,1.0,46,98,Cf,,61478.179,2.618,7505.1,36    0.011 B-  -4547
46,1.0,45,99,Es,-a,,181#,7483#,1#    B-  -2940
44,1.0,44,100,Fm,-a,,201#,7468#,1#    B-      *
0 59,1.0,52,93,Np,,,300#,7505#,1#    B-   2712
57,1.0,51,94,Pu,-n,,13.620,7513.2,81    0.056 B-   1277
55,1.0,50,95,Am,,,1.887,7515.3,03    0.008 B-    895
53,1.0,49,96,Cm,,61004.58,1.150,7515.7,67    0.005 B-   -809
51,1.0,48,97,Bk,-a,,1.793,7509.2,70    0.007 B-  -1571
49,1.0,47,98,Cf,,63385.21,2.428,7499.6,63    0.010 B-  -2981
47,1.0,46,99,Es,-a,,200#,7484#,1#    B-  -3821
45,1.0,45,100,Fm,-a,,195#,7466#,1#    B-  -5085
43,1.0,44,101,Md,-a,,305#,7442#,1#    B-      *
0 58,1.0,52,94,Pu,,65394.801,14.985,7506.5,39    0.061 B-    401
56,1.0,51,95,Am,,,18#,7505#,0#    B-   2377
54,1.0,50,96,Cm,,62616.967,1.526,7511.4,71    0.006 B-  -1350
52,1.0,49,97,Bk,,,60.019,7502.8,03    0.244 B-   -123
50,1.0,48,98,Cf,,64090.292,1.515,7499.1,21    0.006 B-  -3810
48,1.0,47,99,Es,-a,,224#,7480#,1#    B-  -2288
46,1.0,46,100,Fm,-a,,15.333,7467.9,70    0.062 B-  -5926
44,1.0,45,101,Md,-a,,259#,7441#,1#    B-      *
0 59,1.0,53,94,Pu,,,196#,7494#,1#    B-   1954
57,1.0,52,95,Am,,,100#,7499#,0#    B-   1620
55,1.0,51,96,Cm,,65533.143,3.797,7501.9,31    0.015 B-     43
53,1.0,50,97,Bk,-a,,5.189,7498.9,40    0.021 B-   -614
51,1.0,49,98,Cf,,,15.334,7493.2,85    0.062 B-  -2474
49,1.0,48,99,Es,,,19.441,7480.1,00    0.079 B-  -3094
47,1.0,47,100,Fm,,,115#,7464#,0#    B-  -4264
45,1.0,46,101,Md,-a,,207#,7444#,1#    B-      *
0 58,1.0,53,95,Am,,,200#,7487#,1#    B-   3170
56,1.0,52,96,Cm,,67392.755,2.358,7496.7,28    0.010 B-   -687
54,1.0,51,97,Bk,,,71#,7491#,0#    B-    842
52,1.0,50,98,Cf,-a,,5.121,7491.0,43    0.021 B-  -3061
50,1.0,49,99,Es,-a,,52#,7476#,0#    B-  -1599
48,1.0,48,100,Fm,,71897.857,8.497,7465.9,44    0.034 B-  -5250
46,1.0,47,101,Md,-a,,237#,7442#,1#    B-  -3473
44,1.0,46,102,No,-a,,224#,7424#,1#    B-      *
0 59,1.0,54,95,Am,,,298#,7479#,1#    B-   2353
57,1.0,53,96,Cm,-n,,2.371,7485.5,50    0.010 B-    904
55,1.0,52,97,Bk,,,1.249,7486.0,40    0.005 B-    123
53,1.0,51,98,Cf,,69722.784,1.183,7483.3,94    0.005 B-  -1452
51,1.0,50,99,Es,-a,,30#,7474#,0#    B-  -2344
49,1.0,49,100,Fm,,73519.188,6.212,7461.8,64    0.025 B-  -3713
47,1.0,48,101,Md,-a,,201#,7444#,1#    B-  -4550
45,1.0,47,102,No,-a,,279#,7422#,1#    B-      *
0 58,1.0,54,96,Cm,-nn,,10.274,7478.9,38    0.041 B-     39
56,1.0,53,97,Bk,,,3.719,7475.9,67    0.015 B-   1779
54,1.0,52,98,Cf,-a,,1.538,7479.9,56    0.006 B-  -2055
52,1.0,51,99,Es,,,100#,7469#,0#    B-   -847
50,1.0,50,100,Fm,,74072.243,7.888,7462.0,90    0.032 B-  -4558
48,1.0,49,101,Md,-a,,301#,7441#,1#    B-  -2933
46,1.0,48,102,No,-a,,201#,7426#,1#    B-      *
0 59,1.0,55,96,Cm,,,22.698,7466.7,22    0.090 B-   1420
57,1.0,54,97,Bk,,,10.734,7469.2,63    0.043 B-   1093
55,1.0,53,98,Cf,-a,,3.901,7470.5,00    0.016 B-   -377
53,1.0,52,99,Es,-a,,5.994,7465.8,81    0.024 B-  -1441
51,1.0,51,100,Fm,,,15.203,7457.0,20    0.061 B-  -3012
49,1.0,50,101,Md,,,18.919,7441.9,00    0.075 B-  -3882
47,1.0,49,102,No,,,114#,7423#,0#    B-  -4879
45,1.0,48,103,Lr,,,298#,7401#,1#    B-      *
0 60,1.0,56,96,Cm,,,298#,7460#,1#    B-    521
58,1.0,55,97,Bk,,,200#,7459#,1#    B-   2500
56,1.0,54,98,Cf,-a,,2.358,7465.3,47    0.009 B-  -1260
54,1.0,53,99,Es,,,50.056,7457.2,42    0.199 B-    478
52,1.0,52,100,Fm,-a,,5.498,7456.0,38    0.022 B-  -3695
50,1.0,51,101,Md,,,130#,7438#,1#    B-  -2361
48,1.0,50,102,No,,82871.427,9.292,7425.7,98    0.037 B-  -5866
46,1.0,49,103,Lr,-a,,238#,7399#,1#    B-      *
0 59,1.0,56,97,Bk,-a,,359#,7451#,1#    B-   1627
57,1.0,55,98,Cf,-a,,4.257,7454.8,29    0.017 B-    291
55,1.0,54,99,Es,-a,,1.250,7452.8,87    0.005 B-   -335
53,1.0,53,100,Fm,-a,,2.932,7448.4,70    0.012 B-  -1827
51,1.0,52,101,Md,-a,,31#,7438#,0#    B-  -3186
49,1.0,51,102,No,,84358.735,6.912,7422.4,71    0.027 B-  -4217
47,1.0,50,103,Lr,-a,,202#,7403#,1#    B-  -4982
45,1.0,49,104,Rf,-a,,410#,7380#,2#    B-      *
0 60,1.0,57,97,Bk,,,298#,7440#,1#    B-   3052
58,1.0,56,98,Cf,-a,,11.462,7449.2,25    0.045 B-   -649
56,1.0,55,99,Es,-a,,4.010,7443.5,89    0.016 B-   1087
54,1.0,54,100,Fm,-a,,2.414,7444.7,92    0.010 B-  -2550
52,1.0,53,101,Md,,,100#,7432#,0#    B-  -1271
50,1.0,52,102,No,,84723.347,9.658,7423.5,90    0.038 B-  -5148
48,1.0,51,103,Lr,-a,,301#,7400#,1#    B-  -3327
46,1.0,50,104,Rf,-a,,283#,7384#,1#    B-      *
0 59,1.0,57,98,Cf,,,200#,7438#,1#    B-    720
57,1.0,56,99,Es,-a,,10.817,7437.8,21    0.042 B-    289
55,1.0,55,100,Fm,-a,,4.291,7435.8,88    0.017 B-  -1043
53,1.0,54,101,Md,-a,,6.553,7428.7,29    0.026 B-  -1964
51,1.0,53,102,No,,,14.904,7417.9,58    0.058 B-  -3140
49,1.0,52,103,Lr,,,17.698,7402.5,76    0.069 B-  -4382
47,1.0,51,104,Rf,-a,,115#,7382#,0#    B-  -5263
45,1.0,50,105,Db,-a,,359#,7359#,1#    B-      *
0 60,1.0,58,98,Cf,-a,,314#,7432#,1#    B-   -146
58,1.0,57,99,Es,,,100#,7428#,0#    B-   1700
56,1.0,56,100,Fm,-a,,5.600,7431.7,80    0.022 B-  -1969
54,1.0,55,101,Md,,,122#,7421#,0#    B-   -366
52,1.0,54,102,No,-a,,7.743,7416.5,46    0.030 B-  -3924
50,1.0,53,103,Lr,,,82.903,7398.1,60    0.324 B-  -2475
48,1.0,52,104,Rf,-a,,17.848,7385.4,34    0.070 B-  -6276
46,1.0,51,105,Db,-a,,240#,7358#,1#    B-      *
0 59,1.0,58,99,Es,-a,,411#,7422#,2#    B-    813
57,1.0,57,100,Fm,-a,,4.486,7422.1,94    0.017 B-   -403
55,1.0,56,101,Md,-a,,1.601,7417.5,82    0.006 B-  -1254
53,1.0,55,102,No,-a,,6.678,7409.6,57    0.026 B-  -2418
51,1.0,54,103,Lr,-a,,44#,7397#,0#    B-  -3201
49,1.0,53,104,Rf,-a,,10.817,7381.7,04    0.042 B-  -4340
47,1.0,52,105,Db,-a,,203#,7362#,1#    B-      *
0 60,1.0,59,99,Es,,,401#,7412#,2#    B-   2276
58,1.0,58,100,Fm,-a,,200#,7418#,1#    B-  -1260
56,1.0,57,101,Md,-a,,4.419,7409.6,75    0.017 B-    209
54,1.0,56,102,No,-a,,100#,7407#,0#    B-  -3304
52,1.0,55,103,Lr,-a,,102#,7392#,0#    B-  -1559
50,1.0,54,104,Rf,-a,,31.967,7382.5,38    0.124 B-  -5456
48,1.0,53,105,Db,-a,,305#,7358#,1#    B-  -3447
46,1.0,52,106,Sg,-a,,413#,7342#,2#    B-      *
0 59,1.0,59,100,Fm,-a,,283#,7407#,1#    B-     80
57,1.0,58,101,Md,-a,,200#,7405#,1#    B-   -454
55,1.0,57,102,No,-a,,6.589,7399.9,74    0.025 B-  -1773
53,1.0,56,103,Lr,-a,,71#,7390#,0#    B-  -2510
51,1.0,55,104,Rf,-a,,72#,7377#,0#    B-  -3629
49,1.0,54,105,Db,-a,,53.040,7360.3,62    0.205 B-  -4529
47,1.0,53,106,Sg,-a,,115#,7340#,0#    B-      *
0 60,1.0,60,100,Fm,-a,,435#,7402#,2#    B-   -786
58,1.0,59,101,Md,-a,,316#,7396#,1#    B-    940
56,1.0,58,102,No,-a,,200#,7397#,1#    B-  -2665
54,1.0,57,103,Lr,-a,,124#,7383#,0#    B-   -870
52,1.0,56,104,Rf,-a,,200#,7377#,1#    B-  -4526
50,1.0,55,105,Db,-a,,93#,7357#,0#    B-  -2875
48,1.0,54,106,Sg,-a,,20.536,7342.5,62    0.079 B-  -6776
46,1.0,53,107,Bh,-a,,245#,7313#,1#    B-      *
0 59,1.0,60,101,Md,-a,,509#,7391#,2#    B-    123
57,1.0,59,102,No,-a,,200#,7388#,1#    B-  -1103
55,1.0,58,103,Lr,-a,,200#,7381#,1#    B-  -1761
53,1.0,57,104,Rf,-a,,50.444,7371.3,84    0.193 B-  -2990
51,1.0,56,105,Db,-a,,110#,7357#,0#    B-  -3697
49,1.0,55,106,Sg,-a,,18.494,7339.7,70    0.071 B-  -5128
47,1.0,54,107,Bh,-a,,209#,7317#,1#    B-      *
0 60,1.0,61,101,Md,-a,,500#,7382#,2#    B-   1526
58,1.0,60,102,No,-a,,361#,7385#,1#    B-  -2000
56,1.0,59,103,Lr,-a,,200#,7374#,1#    B-   -291
54,1.0,58,104,Rf,-a,,224#,7370#,1#    B-  -3861
52,1.0,57,105,Db,-a,,143#,7352#,1#    B-  -2112
50,1.0,56,106,Sg,-a,,35.411,7341.1,85    0.135 B-  -6176
48,1.0,55,107,Bh,-a,,306#,7315#,1#    B-      *
0 59,1.0,61,102,No,-a,,490#,7376#,2#    B-   -600
57,1.0,60,103,Lr,-a,,283#,7371#,1#    B-  -1027
55,1.0,59,104,Rf,-a,,153#,7364#,1#    B-  -2355
53,1.0,58,105,Db,-a,,168#,7352#,1#    B-  -3079
51,1.0,57,106,Sg,-a,,95#,7337#,0#    B-  -4306
49,1.0,56,107,Bh,-a,,305#,7318#,1#    B-  -5182
47,1.0,55,108,Hs,-a,,125#,7295#,0#    B-      *
0 60,1.0,62,102,No,-a,,591#,7371#,2#    B-  -1366
58,1.0,61,103,Lr,-a,,436#,7363#,2#    B-    300
56,1.0,60,104,Rf,-a,,361#,7361#,1#    B-  -3285
54,1.0,59,105,Db,-a,,235#,7346#,1#    B-  -1420
52,1.0,58,106,Sg,-a,,283#,7338#,1#    B-  -5276
50,1.0,57,107,Bh,-a,,177#,7315#,1#    B-  -3506
48,1.0,56,108,Hs,-a,,28.881,7298.3,75    0.109 B-      *
0 59,1.0,62,103,Lr,-a,,547#,7359#,2#    B-   -457
57,1.0,61,104,Rf,-a,,361#,7354#,1#    B-  -1793
55,1.0,60,105,Db,-a,,224#,7344#,1#    B-  -2312
53,1.0,59,106,Sg,-a,,123#,7333#,0#    B-  -3621
51,1.0,58,107,Bh,-a,,234#,7316#,1#    B-  -4485
49,1.0,57,108,Hs,-a,,23.958,7296.2,47    0.090 B-  -5778
47,1.0,56,109,Mt,-a,,451#,7271#,2#    B-      *
0 60,1.0,63,103,Lr,-a,,583#,7349#,2#    B-   1546
58,1.0,62,104,Rf,-a,,469#,7352#,2#    B-  -2660
56,1.0,61,105,Db,-a,,283#,7339#,1#    B-   -881
54,1.0,60,106,Sg,-a,,245#,7332#,1#    B-  -4487
52,1.0,59,107,Bh,-a,,163#,7313#,1#    B-  -3032
50,1.0,58,108,Hs,-a,,38.695,7298.2,73    0.145 B-  -6826
48,1.0,57,109,Mt,-a,,307#,7270#,1#    B-      *
0 59,1.0,63,104,Rf,-a,,575#,7342#,2#    B-   -630
57,1.0,62,105,Db,-a,,412#,7336#,2#    B-  -1732
55,1.0,61,106,Sg,-a,,257#,7327#,1#    B-  -2960
53,1.0,60,107,Bh,-a,,263#,7313#,1#    B-  -3887
51,1.0,59,108,Hs,-a,,96#,7295#,0#    B-  -5138
49,1.0,58,109,Mt,-a,,503#,7273#,2#    B-  -6089
47,1.0,57,110,Ds,-a,,135#,7248#,1#    B-      *
0 60,1.0,64,104,Rf,-a,,662#,7337#,2#    B-  -1586
58,1.0,63,105,Db,-a,,529#,7328#,2#    B-    260
56,1.0,62,106,Sg,-a,,469#,7326#,2#    B-  -4005
54,1.0,61,107,Bh,-a,,381#,7308#,1#    B-  -2023
52,1.0,60,108,Hs,-a,,283#,7298#,1#    B-  -6321
50,1.0,59,109,Mt,-a,,233#,7271#,1#    B-  -4497
48,1.0,58,110,Ds,-a,,301#,7252#,1#    B-      *
0 59,1.0,64,105,Db,-a,,624#,7323#,2#    B-   -614
57,1.0,63,106,Sg,-a,,364#,7318#,1#    B-  -1715
55,1.0,62,107,Bh,-a,,374#,7309#,1#    B-  -3086
53,1.0,61,108,Hs,-a,,124#,7294#,0#    B-  -4806
51,1.0,60,109,Mt,-a,,463#,7273#,2#    B-  -5465
49,1.0,59,110,Ds,-a,,31.403,7250.1,54    0.117 B-      *
0 60,1.0,65,105,Db,-a,,617#,7314#,2#    B-    816
58,1.0,64,106,Sg,-a,,557#,7314#,2#    B-  -2735
56,1.0,63,107,Bh,-a,,287#,7301#,1#    B-   -886
54,1.0,62,108,Hs,-a,,248#,7295#,1#    B-  -5598
52,1.0,61,109,Mt,-a,,170#,7271#,1#    B-  -3968
50,1.0,60,110,Ds,-a,,48.011,7253.7,75    0.178 B-      *
0 59,1.0,65,106,Sg,-a,,585#,7305#,2#    B-  -1164
57,1.0,64,107,Bh,-a,,415#,7298#,2#    B-  -1819
55,1.0,63,108,Hs,-a,,280#,7288#,1#    B-  -3361
53,1.0,62,109,Mt,-a,,330#,7273#,1#    B-  -4847
51,1.0,61,110,Ds,-a,,97#,7252#,0#    B-      *
0 60,1.0,66,106,Sg,-a,,727#,7301#,3#    B-  -2209
58,1.0,65,107,Bh,-a,,532#,7290#,2#    B-   -217
56,1.0,64,108,Hs,-a,,510#,7286#,2#    B-  -4575
54,1.0,63,109,Mt,-a,,485#,7267#,2#    B-  -2433
52,1.0,62,110,Ds,-a,,413#,7255#,2#    B-  -6758
50,1.0,61,111,Rg,-a,,233#,7227#,1#    B-      *
